text,label
"coffee, cup, table, laptop. Can I get a latte? I am sitting by the window typing notes on my laptop.",Coffee Shop
"barista, menu, counter, milk. What drinks do you recommend? I am standing at the counter choosing my order.",Coffee Shop
"espresso, mug, chair, WiFi. This place has good internet. I am working quietly while sipping espresso.",Coffee Shop
"cup, pastry, table, napkin. This pastry is fresh. I am eating while reviewing my notes.",Coffee Shop
"laptop, coffee, table, chair. I need to finish this task. I am typing reports while drinking coffee.",Coffee Shop
"barista, cup, receipt, counter. Is my order ready? I am waiting near the pickup area.",Coffee Shop
"coffee, sugar, mug, chair. This is too sweet. I am adjusting my drink while sitting alone.",Coffee Shop
"table, laptop, espresso, WiFi. I have a deadline. I am working fast while drinking espresso.",Coffee Shop
"cup, muffin, table, chair. This muffin is good. I am relaxing while eating in the café.",Coffee Shop
"counter, barista, menu, coffee. Can I change my order? I am asking while pointing at the menu.",Coffee Shop
"laptop, table, coffee, mug. I will stay here for hours. I am studying while sipping coffee.",Coffee Shop
"chair, latte, table, WiFi. This is a nice study spot. I am reading notes quietly.",Coffee Shop
"coffee, cup, counter, milk. One iced coffee please. I am ordering at the counter.",Coffee Shop
"table, pastry, coffee, napkin. I needed this break. I am resting while eating a snack.",Coffee Shop
"barista, espresso, cup, menu. What is your strongest drink? I am asking while looking at the menu.",Coffee Shop
"laptop, chair, coffee, table. I am focused today. I am typing documents while drinking coffee.",Coffee Shop
"cup, coffee, WiFi, laptop. This assignment is hard. I am researching online while drinking coffee.",Coffee Shop
"counter, receipt, barista, cup. I think there is a mistake. I am checking my order at the counter.",Coffee Shop
"table, muffin, chair, coffee. This tastes great. I am enjoying food while watching outside.",Coffee Shop
"espresso, laptop, table, chair. I need more energy. I am working while sipping espresso.",Coffee Shop
"barista, milk, cup, coffee. Can I have oat milk? I am customizing my drink order.",Coffee Shop
"table, laptop, mug, WiFi. I like this place. I am working quietly with stable internet.",Coffee Shop
"cup, chair, pastry, table. This is peaceful. I am relaxing while eating inside the café.",Coffee Shop
"coffee, counter, menu, barista. What is popular today? I am asking for recommendations.",Coffee Shop
"laptop, coffee, chair, table. Almost done with work. I am finishing tasks while drinking coffee.",Coffee Shop
"cup, espresso, table, napkin. Strong but good. I am tasting coffee while writing notes.",Coffee Shop
"barista, receipt, counter, coffee. Thank you. I am finishing payment at the counter.",Coffee Shop
"table, latte, laptop, chair. Let’s meet here again. I am talking with a friend while drinking latte.",Coffee Shop
"coffee, WiFi, laptop, table. This is my routine. I am working remotely in the café.",Coffee Shop
"chair, muffin, cup, table. I need a break. I am eating while resting from work.",Coffee Shop
"espresso, barista, cup, counter. Double shot please. I am ordering strong coffee.",Coffee Shop
"laptop, table, coffee, chair. I will finish this today. I am working with full focus.",Coffee Shop
"cup, menu, milk, counter. Can you change this? I am adjusting my drink order.",Coffee Shop
"coffee, WiFi, table, laptop. Connection is fast. I am browsing while working.",Coffee Shop
"chair, latte, sugar, cup. This is perfect. I am studying while sipping latte.",Coffee Shop
"barista, espresso, cup, coffee. One more shot please. I am ordering extra caffeine.",Coffee Shop
"table, pastry, chair, coffee. This smells amazing. I am enjoying snacks in the café.",Coffee Shop
"laptop, mug, coffee, table. Almost finished editing. I am working on my laptop.",Coffee Shop
"counter, barista, menu, cup. What do you suggest? I am asking while choosing drinks.",Coffee Shop
"chair, coffee, WiFi, laptop. This helps me focus. I am studying for exams.",Coffee Shop
"cup, espresso, table, coffee. Strong taste. I am writing while sipping coffee.",Coffee Shop
"barista, receipt, coffee, counter. That’s all thank you. I am leaving the counter.",Coffee Shop
"table, laptop, muffin, chair. I need rest. I am pausing work while eating.",Coffee Shop
"coffee, latte, cup, milk. Extra foam please. I am ordering at the counter.",Coffee Shop
"chair, table, espresso, WiFi. Nice atmosphere. I am observing while drinking espresso.",Coffee Shop
"laptop, coffee, table, chair. I am deep in focus. I am coding and drinking coffee.",Coffee Shop
"barista, cup, menu, milk. What’s new today? I am checking the menu.",Coffee Shop
"table, pastry, mug, chair. I am relaxed here. I am enjoying a quiet moment.",Coffee Shop
"coffee, laptop, WiFi, table. Almost done. I am finishing my tasks slowly.",Coffee Shop
"books, shelves, desk, catalog. Where can I find this book? I am asking the librarian for help.",Public Library
"computer, desk, notes, card. Can I use this computer? I am logging in to research.",Public Library
"shelves, book, chair, magazine. This section is quiet. I am browsing books in silence.",Public Library
"desk, pencil, notebook, book. I need to study. I am writing notes from textbooks.",Public Library
"librarian, catalog, shelves, card. Where is this section? I am asking for directions.",Public Library
"book, chair, table, journal. This article is useful. I am reading carefully and taking notes.",Public Library
"computer, desk, journal, notes. I am researching online. I am using library databases.",Public Library
"shelves, books, catalog, card. So many books here. I am scanning titles slowly.",Public Library
"desk, pencil, paper, book. I must finish this. I am writing my assignment.",Public Library
"librarian, desk, card, book. I am borrowing books. I am checking out at the counter.",Public Library
"chair, journal, notes, book. This is important. I am reading and highlighting points.",Public Library
