sentence,keywords,code,theme,label
fetching records,"columns, database, table",DELETE FROM users WHERE id=1;,Databases,1
creating a responsive layout,"frontend, javascript, backend",document.getElementById('app'),Databases,0
coding lang eh,"programming, typing",print('hello'),Databases,0
,,UPDATE users SET name='Alex';,Databases,1
debugging rn,"code, typing",int a = 5;,Web Development,0
optimizing database,"columns, sql",DELETE FROM users WHERE id=1;,Databases,1
building a website,"javascript, api",<div>Hello</div>,Databases,0
debugging rn,"rows, table, database, sql",CREATE TABLE users(id INT);,Databases,1
building a website,"frontend, node, table",INSERT INTO users VALUES ('John');,Web Development,0
working on predictions,"dataset, neural network","model.fit(X, y)",Databases,0
working on a web app,,console.log('hello'),Web Development,1
testing a neural network,"dataset, prediction, training",import sklearn,Machine Learning,1
fixing frontend bugs,"node, css",console.log('hello'),Web Development,1
optimizing database,"query, table, model",import sklearn,Databases,0
building a website,"backend, css",<div>Hello</div>,Databases,0
training a model,"dataset, ai, neural network",loss.backward(),Machine Learning,1
building a website,"html, frontend",fetch('/api/data'),Web Development,1
managing tables,"columns, index, sql, database",CREATE TABLE users(id INT);,Databases,1
handling data storage,"index, sql, database",UPDATE users SET name='Alex';,Databases,1
building a website,"frontend, javascript",function App() { return <h1>Hi</h1>; },Web Development,1
uh fixing stuff,"query, index, sql",INSERT INTO users VALUES ('John');,Web Development,0
handling data storage,"table, database",CREATE TABLE users(id INT);,Web Development,0
trying to fix bugs,"computer, code",int a = 5;,Databases,0
working on a web app,"javascript, html, backend, node",fetch('/api/data'),Web Development,1
debugging rn,"code, computer",echo 'hi';,Web Development,0
analyzing data,"dataset, accuracy, prediction",predict(X_test),Web Development,0
making something idk,"dataset, training, neural network",import sklearn,Web Development,0
working on predictions,"neural network, model, frontend",document.getElementById('app'),Machine Learning,0
debugging rn,"typing, code",print('hello'),Web Development,0
coding lang eh,"computer, typing",echo 'hi';,Machine Learning,0
working on something,"database, rows, accuracy",loss.backward(),Databases,0
making a login system,"backend, api, javascript, react",console.log('hello'),Databases,0
debugging rn,"typing, code",console.log('test'),Databases,0
uh fixing stuff,"table, sql, index, query",CREATE TABLE users(id INT);,Databases,1
fetching records,"rows, database, table",UPDATE users SET name='Alex';,Machine Learning,0
making a login system,"html, frontend, accuracy",loss.backward(),Web Development,0
working on a web app,"javascript, backend",document.getElementById('app'),Web Development,1
analyzing data,"model, ai, table",DELETE FROM users WHERE id=1;,Machine Learning,0
writing SQL queries,"table, query, sql, database",UPDATE users SET name='Alex';,Web Development,0
analyzing data,"training, prediction, model",import sklearn,Machine Learning,1
improving accuracy,"training, ai, html",document.getElementById('app'),Machine Learning,0
working on predictions,"accuracy, dataset, neural network, prediction","model.fit(X, y)",Machine Learning,1
building a website,"backend, react, css",function App() { return <h1>Hi</h1>; },Web Development,1
working on something,"code, typing",print('hello'),Machine Learning,0
fixing frontend bugs,"html, api, css, react",document.getElementById('app'),Web Development,1
making something idk,"computer, programming",console.log('test'),Machine Learning,0
fixing frontend bugs,"react, node, backend, css",fetch('/api/data'),Web Development,1
analyzing data,"prediction, training, ai",,Machine Learning,1
improving accuracy,"neural network, training, model, dataset",from tensorflow import keras,Databases,0
working on predictions,"prediction, accuracy, frontend",function App() { return <h1>Hi</h1>; },Machine Learning,0
writing SQL queries,"table, columns, backend",<div>Hello</div>,Databases,0
fetching records,"rows, table, index, sql",INSERT INTO users VALUES ('John');,Machine Learning,0
uh fixing stuff,"typing, computer",print('hello'),Web Development,0
making a login system,"backend, frontend",console.log('hello'),Web Development,1
making a login system,"react, node, prediction",loss.backward(),Web Development,0
trying to fix bugs,"typing, computer",console.log('test'),Databases,0
,"training, accuracy, ai","model.fit(X, y)",Web Development,0
fixing frontend bugs,"react, javascript, css",document.getElementById('app'),Machine Learning,0
improving accuracy,"accuracy, prediction, ai, dataset",,Machine Learning,1
fetching records,"database, sql",CREATE TABLE users(id INT);,Databases,1
building a website,"html, api, ai",loss.backward(),Web Development,0
improving accuracy,"accuracy, ai, api",console.log('hello'),Machine Learning,0
creating a responsive layout,"css, api, neural network",predict(X_test),Web Development,0
making a login system,"node, javascript, react, html",function App() { return <h1>Hi</h1>; },Databases,0
working on predictions,,"model.fit(X, y)",Machine Learning,1
working on a web app,"node, css, accuracy",predict(X_test),Web Development,0
building a website,"javascript, react, node",function App() { return <h1>Hi</h1>; },Machine Learning,0
analyzing data,"training, accuracy, prediction, ai",from tensorflow import keras,Machine Learning,1
,"table, query",,Databases,1
managing tables,"query, table, sql",SELECT * FROM users;,Databases,1
improving accuracy,"model, training, react",<div>Hello</div>,Machine Learning,0
building a website,"api, css, rows",DELETE FROM users WHERE id=1;,Web Development,0
testing a neural network,"neural network, dataset, columns",UPDATE users SET name='Alex';,Machine Learning,0
making something idk,"css, frontend, api, react",console.log('hello'),Machine Learning,0
uh fixing stuff,"computer, typing",int a = 5;,Databases,0
analyzing data,"ai, model, training",loss.backward(),Web Development,0
building a website,"html, backend, api",function App() { return <h1>Hi</h1>; },Web Development,1
creating a responsive layout,"api, node, react, html",console.log('hello'),Web Development,1
testing a neural network,"prediction, dataset",from tensorflow import keras,Machine Learning,1
,"ai, prediction, api",<div>Hello</div>,Machine Learning,0
debugging rn,"programming, computer",print('hello'),Web Development,0
working on something,"computer, code",console.log('test'),Databases,0
making something idk,,CREATE TABLE users(id INT);,Databases,1
building a website,"api, node, frontend, react",<div>Hello</div>,Web Development,1
,"accuracy, training, dataset",loss.backward(),Machine Learning,1
uh fixing stuff,"index, table, rows",DELETE FROM users WHERE id=1;,Machine Learning,0
creating a responsive layout,"frontend, html, javascript, node",function App() { return <h1>Hi</h1>; },Web Development,1
writing SQL queries,,CREATE TABLE users(id INT);,Databases,1
coding lang eh,,predict(X_test),Databases,0
coding lang eh,"code, typing",int a = 5;,Machine Learning,0
managing tables,"query, sql, model",,Databases,0
idk doing coding,"computer, code",int a = 5;,Web Development,0
debugging rn,"typing, programming",print('hello'),Databases,0
making something idk,"computer, programming",print('hello'),Databases,0
making something idk,"frontend, javascript",fetch('/api/data'),Databases,0
analyzing data,"dataset, prediction, accuracy, ai",import sklearn,Databases,0
training a model,"dataset, model, api",,Machine Learning,0
working on a web app,"react, node, rows",UPDATE users SET name='Alex';,Web Development,0
optimizing database,"table, query, sql, index",UPDATE users SET name='Alex';,Web Development,0
,"columns, query, table",CREATE TABLE users(id INT);,Databases,1
managing tables,"index, sql, query, rows",UPDATE users SET name='Alex';,Databases,1
,"index, sql, neural network",from tensorflow import keras,Databases,0
making a login system,"backend, node, model",predict(X_test),Web Development,0
training a model,"neural network, model, ai",from tensorflow import keras,Machine Learning,1
improving accuracy,"dataset, ai, prediction","model.fit(X, y)",Web Development,0
coding lang eh,"programming, typing",int a = 5;,Databases,0
managing tables,"index, sql, rows",INSERT INTO users VALUES ('John');,Databases,1
training a model,"training, neural network","model.fit(X, y)",Databases,0
building a website,"api, node, backend",fetch('/api/data'),Web Development,1
idk doing coding,"typing, programming",print('hello'),Databases,0
making a login system,"css, api, frontend",console.log('hello'),Web Development,1
analyzing data,,import sklearn,Machine Learning,1
training a model,"training, accuracy",,Machine Learning,1
working on a web app,"backend, html, css",console.log('hello'),Web Development,1
fetching records,"rows, table, query, sql",UPDATE users SET name='Alex';,Databases,1
fetching records,"index, database, table",,Machine Learning,0
writing SQL queries,"index, database, rows, columns",SELECT * FROM users;,Databases,1
uh fixing stuff,"code, programming",print('hello'),Databases,0
handling data storage,"sql, table, database",SELECT * FROM users;,Databases,1
fixing frontend bugs,"node, css",fetch('/api/data'),Web Development,1
uh fixing stuff,,loss.backward(),Machine Learning,1
idk doing coding,"node, api, table",INSERT INTO users VALUES ('John');,Web Development,0
optimizing database,"table, query",SELECT * FROM users;,Web Development,0
working on a web app,"frontend, react, rows",INSERT INTO users VALUES ('John');,Web Development,0
analyzing data,"prediction, model, training",predict(X_test),Machine Learning,1
testing a neural network,"prediction, accuracy, frontend",console.log('hello'),Machine Learning,0
working on something,"model, ai, api",console.log('hello'),Machine Learning,0
making something idk,"typing, computer",print('hello'),Web Development,0
,"backend, css, api",fetch('/api/data'),Web Development,1
,"rows, table, html",<div>Hello</div>,Databases,0
working on something,"css, javascript, ai",from tensorflow import keras,Web Development,0
handling data storage,"table, query, rows, columns",SELECT * FROM users;,Machine Learning,0
managing tables,,DELETE FROM users WHERE id=1;,Databases,1
training a model,"model, dataset, prediction, ai","model.fit(X, y)",Machine Learning,1
fetching records,"database, rows, sql",SELECT * FROM users;,Databases,1
idk doing coding,"database, columns, table, sql",SELECT * FROM users;,Databases,1
trying to fix bugs,,console.log('hello'),Databases,0
handling data storage,"sql, index, rows, table",,Databases,1
handling data storage,"table, columns, rows",SELECT * FROM users;,Databases,1
handling data storage,"index, database, sql, rows",SELECT * FROM users;,Databases,1
handling data storage,,UPDATE users SET name='Alex';,Databases,1
making something idk,"code, computer",echo 'hi';,Machine Learning,0
uh fixing stuff,"code, programming",console.log('test'),Web Development,0
writing SQL queries,"database, columns, query",DELETE FROM users WHERE id=1;,Machine Learning,0
fetching records,"index, sql, database, query",INSERT INTO users VALUES ('John');,Databases,1
trying to fix bugs,"html, frontend, react",<div>Hello</div>,Web Development,1
working on predictions,"training, dataset, accuracy",loss.backward(),Machine Learning,1
managing tables,"database, rows, table",INSERT INTO users VALUES ('John');,Databases,1
debugging rn,"typing, programming",echo 'hi';,Web Development,0
working on predictions,"neural network, prediction, model, accuracy",loss.backward(),Machine Learning,1
analyzing data,,INSERT INTO users VALUES ('John');,Machine Learning,0
building a website,,SELECT * FROM users;,Web Development,0
managing tables,"query, table, index, columns",INSERT INTO users VALUES ('John');,Databases,1
making a login system,"frontend, html, css, node",document.getElementById('app'),Web Development,1
fixing frontend bugs,"node, react, css, html",document.getElementById('app'),Databases,0
working on predictions,"prediction, model, backend",function App() { return <h1>Hi</h1>; },Machine Learning,0
uh fixing stuff,"code, computer",print('hello'),Machine Learning,0
debugging rn,"model, neural network","model.fit(X, y)",Machine Learning,1
working on something,"typing, programming",int a = 5;,Databases,0
idk doing coding,"computer, typing",console.log('test'),Web Development,0
,"javascript, html, node, frontend",<div>Hello</div>,Databases,0
idk doing coding,,,Machine Learning,0
idk doing coding,"programming, code",print('hello'),Machine Learning,0
optimizing database,"table, database",UPDATE users SET name='Alex';,Databases,1
idk doing coding,"columns, rows, index",DELETE FROM users WHERE id=1;,Databases,1
working on predictions,"neural network, dataset",,Machine Learning,1
building a website,"react, javascript, ai","model.fit(X, y)",Web Development,0
coding lang eh,"query, database, index, table",CREATE TABLE users(id INT);,Databases,1
idk doing coding,"typing, programming",int a = 5;,Machine Learning,0
coding lang eh,"database, columns, html",<div>Hello</div>,Databases,0
making something idk,"typing, computer",console.log('test'),Web Development,0
making something idk,"typing, computer",int a = 5;,Machine Learning,0
handling data storage,"table, database, index",UPDATE users SET name='Alex';,Databases,1
testing a neural network,"neural network, model",loss.backward(),Machine Learning,1
debugging rn,"computer, typing",console.log('test'),Machine Learning,0
fetching records,"table, index, api",fetch('/api/data'),Databases,0
making something idk,"code, computer",int a = 5;,Machine Learning,0
building a website,"frontend, css",document.getElementById('app'),Web Development,1
idk doing coding,"model, dataset, training","model.fit(X, y)",Machine Learning,1
writing SQL queries,"columns, rows",CREATE TABLE users(id INT);,Machine Learning,0
writing SQL queries,"columns, database, rows",CREATE TABLE users(id INT);,Web Development,0
working on something,"programming, code",int a = 5;,Machine Learning,0
working on something,"index, table, columns, sql",,Machine Learning,0
working on a web app,"react, frontend, backend",console.log('hello'),Databases,0
trying to fix bugs,"database, columns, node",<div>Hello</div>,Databases,0
uh fixing stuff,"programming, typing",int a = 5;,Machine Learning,0
handling data storage,"rows, database, ai",predict(X_test),Databases,0
working on predictions,,"model.fit(X, y)",Databases,0
analyzing data,"training, accuracy",loss.backward(),Machine Learning,1
uh fixing stuff,"database, sql, rows, columns",INSERT INTO users VALUES ('John');,Databases,1
optimizing database,"columns, rows, api",function App() { return <h1>Hi</h1>; },Databases,0
working on a web app,"javascript, node, backend",<div>Hello</div>,Web Development,1
making a login system,"css, html",function App() { return <h1>Hi</h1>; },Web Development,1
fetching records,"database, sql, query, table",UPDATE users SET name='Alex';,Databases,1
,"css, api, javascript, frontend",<div>Hello</div>,Web Development,1
coding lang eh,"typing, programming",int a = 5;,Databases,0
making something idk,"training, accuracy, ai, neural network",import sklearn,Machine Learning,1
creating a responsive layout,"node, html, backend",document.getElementById('app'),Databases,0
building a website,"css, node, table",SELECT * FROM users;,Web Development,0
writing SQL queries,"table, rows, query, database",UPDATE users SET name='Alex';,Databases,1
working on predictions,"model, accuracy, neural network, dataset",import sklearn,Machine Learning,1
working on predictions,"prediction, neural network, ai",from tensorflow import keras,Machine Learning,1
handling data storage,"columns, database",DELETE FROM users WHERE id=1;,Databases,1
managing tables,"database, sql, table",UPDATE users SET name='Alex';,Machine Learning,0
debugging rn,"computer, typing",console.log('test'),Machine Learning,0
coding lang eh,"accuracy, neural network",loss.backward(),Machine Learning,1
fixing frontend bugs,"node, backend, react",document.getElementById('app'),Web Development,1
building a website,"backend, css, api, frontend",document.getElementById('app'),Web Development,1
making something idk,"node, react, model","model.fit(X, y)",Web Development,0
testing a neural network,"dataset, model, rows",CREATE TABLE users(id INT);,Machine Learning,0
testing a neural network,"model, prediction, api",<div>Hello</div>,Machine Learning,0
working on something,"typing, code",int a = 5;,Machine Learning,0
,"prediction, neural network, api",console.log('hello'),Machine Learning,0
writing SQL queries,"database, columns, query",CREATE TABLE users(id INT);,Machine Learning,0
working on predictions,"ai, prediction, neural network",import sklearn,Machine Learning,1
building a website,"javascript, react, node",function App() { return <h1>Hi</h1>; },Web Development,1
making a login system,"frontend, api",fetch('/api/data'),Databases,0
trying to fix bugs,"frontend, css, javascript",console.log('hello'),Web Development,1
training a model,"accuracy, neural network, sql",UPDATE users SET name='Alex';,Machine Learning,0
debugging rn,"sql, table, columns, index",SELECT * FROM users;,Databases,1
training a model,"prediction, training, dataset",loss.backward(),Machine Learning,1
uh fixing stuff,"code, typing",int a = 5;,Web Development,0
,"columns, rows",SELECT * FROM users;,Machine Learning,0
making something idk,"typing, code",echo 'hi';,Machine Learning,0
,"javascript, html, react",function App() { return <h1>Hi</h1>; },Web Development,1
debugging rn,"database, query, index, rows",SELECT * FROM users;,Databases,1
working on something,"computer, code",echo 'hi';,Web Development,0
optimizing database,"columns, sql, rows",SELECT * FROM users;,Databases,1
training a model,"ai, accuracy, rows",INSERT INTO users VALUES ('John');,Machine Learning,0
testing a neural network,"model, prediction, ai","model.fit(X, y)",Machine Learning,1
,"frontend, javascript",function App() { return <h1>Hi</h1>; },Databases,0
coding lang eh,"computer, typing",console.log('test'),Web Development,0
writing SQL queries,"table, sql, backend",console.log('hello'),Databases,0
fetching records,,SELECT * FROM users;,Web Development,0
optimizing database,"index, query, rows, database",SELECT * FROM users;,Databases,1
making a login system,,,Web Development,1
debugging rn,"css, html, react, backend",document.getElementById('app'),Web Development,1
trying to fix bugs,"accuracy, model, dataset",import sklearn,Web Development,0
managing tables,,CREATE TABLE users(id INT);,Databases,1
working on predictions,"model, neural network, accuracy",loss.backward(),Machine Learning,1
,"database, index",DELETE FROM users WHERE id=1;,Machine Learning,0
debugging rn,"prediction, model, accuracy, ai",predict(X_test),Databases,0
building a website,"javascript, backend, accuracy",import sklearn,Web Development,0
debugging rn,"neural network, training, rows",DELETE FROM users WHERE id=1;,Machine Learning,0
optimizing database,"sql, index, database",DELETE FROM users WHERE id=1;,Databases,1
optimizing database,"query, rows",DELETE FROM users WHERE id=1;,Databases,1
,"rows, query, neural network",import sklearn,Databases,0
improving accuracy,"neural network, training, prediction",predict(X_test),Machine Learning,1
debugging rn,"node, api, javascript, frontend",document.getElementById('app'),Web Development,1
working on something,"javascript, html",fetch('/api/data'),Web Development,1
,"index, rows, database",,Web Development,0
uh fixing stuff,"computer, programming",int a = 5;,Databases,0
training a model,,DELETE FROM users WHERE id=1;,Machine Learning,0
,,predict(X_test),Machine Learning,1
testing a neural network,"dataset, neural network, frontend",console.log('hello'),Machine Learning,0
fixing frontend bugs,"react, api, database",DELETE FROM users WHERE id=1;,Web Development,0
working on predictions,"prediction, dataset, training",,Machine Learning,1
improving accuracy,"neural network, training, model",import sklearn,Machine Learning,1
making a login system,"frontend, api",<div>Hello</div>,Databases,0
making something idk,"programming, typing",echo 'hi';,Databases,0
optimizing database,"rows, index, query, table",CREATE TABLE users(id INT);,Web Development,0
managing tables,"database, sql, prediction","model.fit(X, y)",Databases,0
,"node, react, model",loss.backward(),Web Development,0
trying to fix bugs,"code, typing",int a = 5;,Machine Learning,0
,"model, ai, dataset, prediction",,Machine Learning,1
making a login system,"css, react",document.getElementById('app'),Web Development,1
idk doing coding,"columns, rows, table",DELETE FROM users WHERE id=1;,Machine Learning,0
uh fixing stuff,"typing, programming",print('hello'),Machine Learning,0
analyzing data,"ai, model",from tensorflow import keras,Machine Learning,1
making a login system,"node, api, rows",CREATE TABLE users(id INT);,Web Development,0
improving accuracy,"prediction, model",,Machine Learning,1
working on a web app,,function App() { return <h1>Hi</h1>; },Databases,0
coding lang eh,"typing, computer",int a = 5;,Web Development,0
managing tables,"table, database",,Databases,1
making something idk,"javascript, backend, frontend, html",fetch('/api/data'),Databases,0
creating a responsive layout,,fetch('/api/data'),Web Development,1
optimizing database,"query, sql",UPDATE users SET name='Alex';,Databases,1
